"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Mar 28 18:59:58 CST 2023","Tue Mar 28 18:59:59 CST 2023","625","TestCase.finance","test_product","TestProductConfig","","","test_page_query_product_config[case1]","产品管理--分页查询产品配置信息"
"passed","Tue Mar 28 18:59:57 CST 2023","Tue Mar 28 18:59:58 CST 2023","1004","TestCase.finance","test_product","TestProductConfig","","","test_page_query_product_config[case0]","产品管理--分页查询产品配置信息"
